Calibration Curve RI	
X:	Y:
1.97167	9.000
1.97333	9.000
1.97500	9.000
1.97667	9.000
1.97833	9.000
1.98000	9.000
1.98167	9.000
1.98333	9.000
1.98500	9.000
1.98667	9.000
1.98833	9.000
1.99000	9.000
1.99167	9.000
1.99333	9.000
1.99500	9.000
1.99667	9.000
1.99833	9.000
2.00000	9.000
2.00167	9.000
2.00333	9.000
2.00500	9.000
2.00667	9.000
2.00833	9.000
2.01000	9.000
2.01167	9.000
2.01333	9.000
2.01500	9.000
2.01667	9.000
2.01833	9.000
2.02000	9.000
2.02167	9.000
2.02333	9.000
2.02500	9.000
2.02667	9.000
2.02833	9.000
2.03000	9.000
2.03167	9.000
2.03333	9.000
2.03500	9.000
2.03667	9.000
2.03833	9.000
2.04000	9.000
2.04167	9.000
2.04333	9.000
2.04500	9.000
2.04667	9.000
2.04833	9.000
2.05000	9.000
2.05167	9.000
2.05333	9.000
2.05500	9.000
2.05667	9.000
2.05833	9.000
2.06000	9.000
2.06167	9.000
2.06333	9.000
2.06500	9.000
2.06667	9.000
2.06833	9.000
2.07000	9.000
2.07167	9.000
2.07333	9.000
2.07500	9.000
2.07667	9.000
2.07833	9.000
2.08000	9.000
2.08167	9.000
2.08333	9.000
2.08500	9.000
2.08667	9.000
2.08833	9.000
2.09000	9.000
2.09167	9.000
2.09333	9.000
2.09500	9.000
2.09667	9.000
2.09833	9.000
2.10000	9.000
2.10167	9.000
2.10333	9.000
2.10500	9.000
2.10667	9.000
2.10833	9.000
2.11000	9.000
2.11167	9.000
2.11333	9.000
2.11500	9.000
2.11667	9.000
2.11833	9.000
2.12000	9.000
2.12167	9.000
2.12333	9.000
2.12500	9.000
2.12667	9.000
2.12833	9.000
2.13000	9.000
2.13167	9.000
2.13333	9.000
2.13500	9.000
2.13667	9.000
2.13833	9.000
2.14000	9.000
2.14167	9.000
2.14333	9.000
2.14500	9.000
2.14667	9.000
2.14833	9.000
2.15000	9.000
2.15167	9.000
2.15333	9.000
2.15500	9.000
2.15667	9.000
2.15833	9.000
2.16000	9.000
2.16167	9.000
2.16333	9.000
2.16500	9.000
2.16667	9.000
2.16833	9.000
2.17000	9.000
2.17167	9.000
2.17333	9.000
2.17500	9.000
2.17667	9.000
2.17833	9.000
2.18000	9.000
2.18167	9.000
2.18333	9.000
2.18500	9.000
2.18667	9.000
2.18833	9.000
2.19000	9.000
2.19167	9.000
2.19333	9.000
2.19500	9.000
2.19667	9.000
2.19833	9.000
2.20000	9.000
2.20167	9.000
2.20333	9.000
2.20500	9.000
2.20667	9.000
2.20833	9.000
2.21000	9.000
2.21167	9.000
2.21333	9.000
2.21500	9.000
2.21667	9.000
2.21833	9.000
2.22000	9.000
2.22167	9.000
2.22333	9.000
2.22500	9.000
2.22667	9.000
2.22833	9.000
2.23000	9.000
2.23167	9.000
2.23333	9.000
2.23500	9.000
2.23667	9.000
2.23833	9.000
2.24000	9.000
2.24167	9.000
2.24333	9.000
2.24500	9.000
2.24667	9.000
2.24833	9.000
2.25000	9.000
2.25167	9.000
2.25333	9.000
2.25500	9.000
2.25667	9.000
2.25833	9.000
2.26000	9.000
2.26167	9.000
2.26333	9.000
2.26500	9.000
2.26667	9.000
2.26833	9.000
2.27000	9.000
2.27167	9.000
2.27333	9.000
2.27500	9.000
2.27667	9.000
2.27833	9.000
2.28000	9.000
2.28167	9.000
2.28333	9.000
2.28500	9.000
2.28667	9.000
2.28833	9.000
2.29000	9.000
2.29167	9.000
2.29333	9.000
2.29500	9.000
2.29667	9.000
2.29833	9.000
2.30000	9.000
2.30167	9.000
2.30333	9.000
2.30500	9.000
2.30667	9.000
2.30833	9.000
2.31000	9.000
2.31167	9.000
2.31333	9.000
2.31500	9.000
2.31667	9.000
2.31833	9.000
2.32000	9.000
2.32167	9.000
2.32333	9.000
2.32500	9.000
2.32667	9.000
2.32833	9.000
2.33000	9.000
2.33167	9.000
2.33333	9.000
2.33500	9.000
2.33667	9.000
2.33833	9.000
2.34000	9.000
2.34167	9.000
2.34333	9.000
2.34500	9.000
2.34667	9.000
2.34833	9.000
2.35000	9.000
2.35167	9.000
2.35333	9.000
2.35500	9.000
2.35667	9.000
2.35833	9.000
2.36000	9.000
2.36167	9.000
2.36333	9.000
2.36500	9.000
2.36667	9.000
2.36833	9.000
2.37000	9.000
2.37167	9.000
2.37333	9.000
2.37500	9.000
2.37667	9.000
2.37833	9.000
2.38000	9.000
2.38167	9.000
2.38333	9.000
2.38500	9.000
2.38667	9.000
2.38833	9.000
2.39000	9.000
2.39167	9.000
2.39333	9.000
2.39500	9.000
2.39667	9.000
2.39833	9.000
2.40000	9.000
2.40167	9.000
2.40333	9.000
2.40500	9.000
2.40667	9.000
2.40833	9.000
2.41000	9.000
2.41167	9.000
2.41333	9.000
2.41500	9.000
2.41667	9.000
2.41833	9.000
2.42000	9.000
2.42167	9.000
2.42333	9.000
2.42500	9.000
2.42667	9.000
2.42833	9.000
2.43000	9.000
2.43167	9.000
2.43333	9.000
2.43500	9.000
2.43667	9.000
2.43833	9.000
2.44000	9.000
2.44167	9.000
2.44333	9.000
2.44500	9.000
2.44667	9.000
2.44833	9.000
2.45000	9.000
2.45167	9.000
2.45333	9.000
2.45500	9.000
2.45667	9.000
2.45833	9.000
2.46000	9.000
2.46167	9.000
2.46333	9.000
2.46500	9.000
